TIMESTAMP,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
01-01-2024,22308.01,22395.59,22294.58,22319.63,194252493
02-01-2024,22266.92,22337.31,22227.73,22256.61,271086168
03-01-2024,22251.89,22390.78,22168.47,22282.5,296522958
04-01-2024,22315.06,22399.05,22202.03,22375.39,147544360
05-01-2024,22268.99,22286.52,22210.31,22254.64,236816009
08-01-2024,22210.93,22360.7,22208.36,22275.04,140205680
09-01-2024,22312.37,22336.74,22257.68,22294.94,337767539
10-01-2024,21940.53,22011.48,21908.38,22003.95,222303524
11-01-2024,22199.39,22249.96,22157.53,22203.8,151466840
12-01-2024,22324.75,22430.73,22279.38,22330.81,206129267
15-01-2024,22318.65,22392.49,22180.33,22239.36,331957617
16-01-2024,22181.54,22243.09,22121.04,22228.86,342972155
17-01-2024,22275.78,22359.84,22199.91,22339.0,329413353
18-01-2024,22283.58,22317.31,22277.77,22312.41,200977942
19-01-2024,22239.08,22299.31,22188.93,22289.17,240482558
22-01-2024,22025.37,22168.39,21923.28,22051.38,352171889
23-01-2024,22188.03,22191.28,22124.88,22169.37,204275905
24-01-2024,22245.63,22314.54,22156.92,22211.34,229081300
25-01-2024,22354.15,22356.96,22251.68,22280.2,190384268
26-01-2024,21997.13,22060.32,21929.05,22029.58,177245417
29-01-2024,22460.43,22505.96,22293.6,22342.53,325388803
30-01-2024,22479.04,22548.03,22382.65,22390.27,289417535
31-01-2024,22332.04,22407.73,22321.53,22341.13,278101738
01-02-2024,22623.04,22751.18,22538.65,22727.19,286228582
02-02-2024,22735.62,22782.83,22709.55,22739.4,313832209
05-02-2024,22500.52,22703.05,22457.95,22497.26,344397685
06-02-2024,22341.43,22447.94,22251.41,22444.64,249550174
07-02-2024,22060.59,22102.23,21927.68,22057.33,228697307
08-02-2024,22254.4,22338.23,22167.36,22263.32,186011386
09-02-2024,22174.34,22254.41,22115.81,22209.24,317644173
12-02-2024,22125.27,22167.96,22025.8,22097.58,217814865
13-02-2024,22352.91,22382.61,22209.89,22308.06,156587256
14-02-2024,22013.73,22090.55,21986.23,22035.16,233200351
15-02-2024,22159.84,22237.93,22121.87,22149.67,251521421
16-02-2024,21777.93,21813.87,21769.06,21806.48,302031753
19-02-2024,21676.65,21771.1,21620.84,21710.81,312734154
20-02-2024,21525.44,21542.78,21498.07,21522.02,204312508
21-02-2024,21817.63,21919.39,21784.24,21794.82,199986534
22-02-2024,22099.93,22149.82,22068.53,22124.85,229491588
23-02-2024,21988.71,22119.4,21930.27,22086.49,174286306
26-02-2024,22281.64,22296.61,22138.37,22255.56,243144161
27-02-2024,22172.52,22278.63,22059.81,22243.55,278824822
28-02-2024,22370.44,22447.21,22348.87,22364.99,252682847
29-02-2024,22329.88,22443.56,22235.01,22250.71,149166508
01-03-2024,21967.71,22034.59,21811.95,21968.45,175495474
04-03-2024,21621.76,21709.62,21580.38,21673.33,330366840
05-03-2024,21695.84,21778.67,21668.14,21759.43,186665811
06-03-2024,22226.08,22319.7,22101.27,22174.17,296154812
07-03-2024,22241.27,22254.61,22189.54,22242.02,289498060
08-03-2024,22192.75,22278.86,22117.4,22168.82,229871892
11-03-2024,22572.53,22612.67,22500.0,22530.79,187689706
12-03-2024,22591.71,22652.68,22501.68,22593.93,263151536
13-03-2024,22618.66,22715.78,22583.65,22632.63,194617384
14-03-2024,22655.82,22846.21,22651.59,22698.83,239013008
15-03-2024,22555.3,22738.37,22454.31,22695.22,256627403
18-03-2024,22590.69,22720.06,22530.36,22659.48,205195345
19-03-2024,22417.9,22452.89,22412.7,22421.02,235819175
20-03-2024,22523.54,22621.02,22438.66,22531.44,230724046
21-03-2024,22552.82,22568.11,22450.43,22534.64,172781745
22-03-2024,22765.47,22873.73,22708.96,22771.24,238088734
25-03-2024,22731.83,22858.71,22629.15,22724.59,210172070
26-03-2024,22436.1,22469.43,22359.7,22400.8,135988867
27-03-2024,22363.46,22531.79,22297.14,22403.11,228891476
28-03-2024,22717.18,22737.62,22664.98,22730.24,232315728
29-03-2024,22608.12,22740.51,22545.66,22681.03,212194077
01-04-2024,22584.27,22668.47,22459.8,22540.41,121144766
02-04-2024,22348.03,22375.47,22343.58,22346.31,298504639
03-04-2024,22201.06,22289.36,22147.63,22179.34,292723031
04-04-2024,22214.38,22220.27,22070.85,22146.06,290656209
05-04-2024,22005.15,22086.96,21935.79,21957.74,270302248
08-04-2024,22239.74,22330.24,22223.72,22242.41,171446837
09-04-2024,22247.15,22381.61,22164.96,22212.15,257680611
10-04-2024,22187.77,22303.11,22119.77,22251.49,192023999
11-04-2024,22548.81,22599.28,22455.18,22529.26,386719839
12-04-2024,22828.71,22900.67,22794.68,22822.37,217461599
15-04-2024,22730.27,22863.39,22694.23,22804.08,291724005
16-04-2024,22946.52,22991.96,22804.72,22885.31,152969296
17-04-2024,23008.56,23077.5,22840.54,23041.0,176273385
18-04-2024,23057.66,23111.52,22938.15,23026.2,216469918
19-04-2024,22702.35,22731.61,22690.95,22721.43,293907564
22-04-2024,22906.74,22925.15,22756.5,22861.31,284227725
23-04-2024,23106.69,23220.86,23016.99,23046.2,268010027
24-04-2024,23105.33,23206.08,23047.9,23143.75,134125320
25-04-2024,22923.7,23054.46,22920.61,22994.08,320711993
26-04-2024,22972.68,23135.17,22892.28,22978.72,192113477
29-04-2024,22929.83,22972.27,22888.86,22890.96,350962727
30-04-2024,22839.73,22885.64,22678.58,22856.71,366635880
01-05-2024,23087.51,23261.31,23040.23,23115.88,301636222
02-05-2024,23444.42,23470.64,23308.7,23421.54,311776286
03-05-2024,23438.34,23662.54,23369.69,23568.51,171168949
06-05-2024,23662.02,23844.46,23579.73,23693.52,411314016
07-05-2024,23777.58,23855.03,23646.72,23843.57,263615817
